category,set_number,asin,title,price,stock,url
Star Wars,75372,B0CFVY784R,"LEGO 75372 Star Wars Pack de Combat des Clone Troopers et Droïdes de Combat, Jouet pour Enfants, avec Speeder Bike, Figurine Tri-Droïde et Poste Défensif, Cadeau pour Garçons et Filles Dès 7 Ans",20.99,Stock faible (3),https://www.amazon.fr/75372-Troopers-Figurine-Tri-Dro%C3%AFde-D%C3%A9fensif/dp/B0CFVY784R/ref=sr_1_22?dib=eyJ2IjoiMSJ9.0FPv2O-fQtLqrDQKVFCOmDJ6EPPXiJp1F5YgHPkCtjK1O5oNTgMLD7Jqt7pQmHNMUxsgcLCDLE6z6PE_eUS_3KUvuwib5HqCOvUenU44sGDcoicO01N8r01b9ziwSV4-4dBR3PMvxN7jINIoNBOtVA3gRUIQLp2Ldx2wSfZESV_D-WJ3hCuhS_9k3Hk_WVM9bnOwqWThoX9pfX4RNABQnkTqMGg_kcx1cJv6o3z8nByiVpgdppe1cE8MEX4vhnLxA-mN_uu9bvGrhICvqJAZR9BOzAp7iW-pg3XNWH7ODZI.GQwQeNljJOU5Rn6d_cBWj2JhlfpD5tjxaAYE9NABHB4&dib_tag=se&keywords=lego+star+wars&qid=1758913735&sr=8-22
Star Wars,75404,B0DHSG3RKB,LEGO Star Wars L’Attaque des Clones Le Transport d’assaut de Classe Acclamator - Chasseur Collector inspiré du Film avec présentoir - Idée de Cadeau d'anniversaire pour Adulte et Adolescent 75404,35.99,Stock faible (9),https://www.amazon.fr/LEGO-LAttaque-Transport-dassaut-Acclamator/dp/B0DHSG3RKB/ref=sr_1_47?dib=eyJ2IjoiMSJ9.0FPv2O-fQtLqrDQKVFCOmDJ6EPPXiJp1F5YgHPkCtjK1O5oNTgMLD7Jqt7pQmHNMUxsgcLCDLE6z6PE_eUS_3KUvuwib5HqCOvUenU44sGDcoicO01N8r01b9ziwSV4-4dBR3PMvxN7jINIoNBOtVA3gRUIQLp2Ldx2wSfZESV_D-WJ3hCuhS_9k3Hk_WVM9bnOwqWThoX9pfX4RNABQnkTqMGg_kcx1cJv6o3z8nByiVpgdppe1cE8MEX4vhnLxA-mN_uu9bvGrhICvqJAZR9BOzAp7iW-pg3XNWH7ODZI.GQwQeNljJOU5Rn6d_cBWj2JhlfpD5tjxaAYE9NABHB4&dib_tag=se&keywords=lego+star+wars&qid=1758913735&sr=8-47
Star Wars,75192,B075NT1KHB,Star Wars Lego Millennium Falcon Ultimate Collector Series 75192,791.98,Stock faible (5),https://www.amazon.fr/Star-Wars-Millennium-Ultimate-Collector/dp/B075NT1KHB/ref=sr_1_59?dib=eyJ2IjoiMSJ9.nRuJfwn11Sy53HxgJdSQx2QOX6TmxsrEiGTM9kVliVsWcPgJgiH1PwVVUJWweSQkhsvo-Dec__vqOk6ujOAeWRX9Fa0bJC7k2faV_yYPs4s-EJIrBzUJaGI7NWiSD3-TGEku53mSi96CjMFSZ_xYtOOU-KRfmKVv1JHH0w59qpbWLbiFM1NkHWPmrVe_67C1bUuBgPFxaRV5UGWgrunL9uBOvy_yc3Xt65cPU32KPvSl9OlsqwzU-pkkqBL5_23WJzT1-J5JRiPrV9bM2BttnwW2NbY5a70cJeRNuFGzCbA.Qp9wL3z3hgyEFStjJQsJp2m5gN-SFRhNxWrL5fnuvSQ&dib_tag=se&keywords=lego+star+wars&qid=1758913762&sr=8-59&xpid=sY1ev66lgG6_V
Star Wars,75299,B08G4D1PBN,LEGO 75299 Star Wars TM Conflit à Tatooine,45.48,Stock faible (3),https://www.amazon.fr/LEGO-75299-Mandalorian-Tatooine-construction/dp/B08G4D1PBN/ref=sr_1_61_mod_primary_new?dib=eyJ2IjoiMSJ9.nRuJfwn11Sy53HxgJdSQx2QOX6TmxsrEiGTM9kVliVsWcPgJgiH1PwVVUJWweSQkhsvo-Dec__vqOk6ujOAeWRX9Fa0bJC7k2faV_yYPs4s-EJIrBzUJaGI7NWiSD3-TGEku53mSi96CjMFSZ_xYtOOU-KRfmKVv1JHH0w59qpbWLbiFM1NkHWPmrVe_67C1bUuBgPFxaRV5UGWgrunL9uBOvy_yc3Xt65cPU32KPvSl9OlsqwzU-pkkqBL5_23WJzT1-J5JRiPrV9bM2BttnwW2NbY5a70cJeRNuFGzCbA.Qp9wL3z3hgyEFStjJQsJp2m5gN-SFRhNxWrL5fnuvSQ&dib_tag=se&keywords=lego+star+wars&qid=1758913762&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-61&xpid=sY1ev66lgG6_V
Star Wars,75301,B08G4GP34B,"LEGO 75301 Star Wars X-Wing Fighter de Luke Skywalker: Jouet Vaisseau Spatial avec Figurines Princesse Leia et Droïde R2-D2, pour Fans de La Saga Star Wars, Cadeau pour Enfants de 9 Ans et Plus",102.88,Stock faible (2),https://www.amazon.fr/LEGO-Wars75301-Skywalker-princesse-figurine/dp/B08G4GP34B/ref=sr_1_62?dib=eyJ2IjoiMSJ9.nRuJfwn11Sy53HxgJdSQx2QOX6TmxsrEiGTM9kVliVsWcPgJgiH1PwVVUJWweSQkhsvo-Dec__vqOk6ujOAeWRX9Fa0bJC7k2faV_yYPs4s-EJIrBzUJaGI7NWiSD3-TGEku53mSi96CjMFSZ_xYtOOU-KRfmKVv1JHH0w59qpbWLbiFM1NkHWPmrVe_67C1bUuBgPFxaRV5UGWgrunL9uBOvy_yc3Xt65cPU32KPvSl9OlsqwzU-pkkqBL5_23WJzT1-J5JRiPrV9bM2BttnwW2NbY5a70cJeRNuFGzCbA.Qp9wL3z3hgyEFStjJQsJp2m5gN-SFRhNxWrL5fnuvSQ&dib_tag=se&keywords=lego+star+wars&qid=1758913762&sr=8-62&xpid=sY1ev66lgG6_V
Star Wars,75360,B0BV7B69QT,"LEGO Star Wars Yoda's Jedi Starfighter, Bouwbaar Speelgoed voor Kinderen, The Clone Wars Voertuig met Meester Yoda Minifiguur, Lichtzwaard en Droid R2-D2 Figuur, Cadeau voor Jongens en Meisjes 75360",47.08,Stock faible (1),https://www.amazon.fr/LEGO-75360-Construction-V%C3%A9hicules-Minifigurine/dp/B0BV7B69QT/ref=sr_1_63?dib=eyJ2IjoiMSJ9.nRuJfwn11Sy53HxgJdSQx2QOX6TmxsrEiGTM9kVliVsWcPgJgiH1PwVVUJWweSQkhsvo-Dec__vqOk6ujOAeWRX9Fa0bJC7k2faV_yYPs4s-EJIrBzUJaGI7NWiSD3-TGEku53mSi96CjMFSZ_xYtOOU-KRfmKVv1JHH0w59qpbWLbiFM1NkHWPmrVe_67C1bUuBgPFxaRV5UGWgrunL9uBOvy_yc3Xt65cPU32KPvSl9OlsqwzU-pkkqBL5_23WJzT1-J5JRiPrV9bM2BttnwW2NbY5a70cJeRNuFGzCbA.Qp9wL3z3hgyEFStjJQsJp2m5gN-SFRhNxWrL5fnuvSQ&dib_tag=se&keywords=lego+star+wars&qid=1758913762&sr=8-63&xpid=sY1ev66lgG6_V
Star Wars,40686,B0D33XFYPL,Lego Star Wars 25ème Anniversaire GWP 40686 : Trade Federation Troop Carrier Model à Construire – Célébrez la Menace fantôme avec 8 Figurines et Une caractéristique emblématique de Support,66.11,Stock faible (1),https://www.amazon.fr/LEGO-Star-25%C3%A8me-anniversaire-40686/dp/B0D33XFYPL/ref=sr_1_65?dib=eyJ2IjoiMSJ9.nRuJfwn11Sy53HxgJdSQx2QOX6TmxsrEiGTM9kVliVsWcPgJgiH1PwVVUJWweSQkhsvo-Dec__vqOk6ujOAeWRX9Fa0bJC7k2faV_yYPs4s-EJIrBzUJaGI7NWiSD3-TGEku53mSi96CjMFSZ_xYtOOU-KRfmKVv1JHH0w59qpbWLbiFM1NkHWPmrVe_67C1bUuBgPFxaRV5UGWgrunL9uBOvy_yc3Xt65cPU32KPvSl9OlsqwzU-pkkqBL5_23WJzT1-J5JRiPrV9bM2BttnwW2NbY5a70cJeRNuFGzCbA.Qp9wL3z3hgyEFStjJQsJp2m5gN-SFRhNxWrL5fnuvSQ&dib_tag=se&keywords=lego+star+wars&qid=1758913762&sr=8-65&xpid=sY1ev66lgG6_V
Star Wars,30685,B0D3433Y1V,"Lego Star Wars Tie Interceptor 30685 Polybag, Construire et Exposer",10.01,Stock faible (2),https://www.amazon.fr/LEGO-Interceptor-30685-Polybag-construire/dp/B0D3433Y1V/ref=sr_1_66?dib=eyJ2IjoiMSJ9.nRuJfwn11Sy53HxgJdSQx2QOX6TmxsrEiGTM9kVliVsWcPgJgiH1PwVVUJWweSQkhsvo-Dec__vqOk6ujOAeWRX9Fa0bJC7k2faV_yYPs4s-EJIrBzUJaGI7NWiSD3-TGEku53mSi96CjMFSZ_xYtOOU-KRfmKVv1JHH0w59qpbWLbiFM1NkHWPmrVe_67C1bUuBgPFxaRV5UGWgrunL9uBOvy_yc3Xt65cPU32KPvSl9OlsqwzU-pkkqBL5_23WJzT1-J5JRiPrV9bM2BttnwW2NbY5a70cJeRNuFGzCbA.Qp9wL3z3hgyEFStjJQsJp2m5gN-SFRhNxWrL5fnuvSQ&dib_tag=se&keywords=lego+star+wars&qid=1758913762&sr=8-66&xpid=sY1ev66lgG6_V
Star Wars,75369,B0BV7CDGCR,"LEGO Star Wars 75369 Le Robot Boba Fett, Figurine a Construire avec Blaster Lance-Tenons et Jetpack",19.19,Stock faible (3),https://www.amazon.fr/LEGO-75369-Lance-Tenons-Projectiles-Collectionner/dp/B0BV7CDGCR/ref=sr_1_71?dib=eyJ2IjoiMSJ9.nRuJfwn11Sy53HxgJdSQx2QOX6TmxsrEiGTM9kVliVsWcPgJgiH1PwVVUJWweSQkhsvo-Dec__vqOk6ujOAeWRX9Fa0bJC7k2faV_yYPs4s-EJIrBzUJaGI7NWiSD3-TGEku53mSi96CjMFSZ_xYtOOU-KRfmKVv1JHH0w59qpbWLbiFM1NkHWPmrVe_67C1bUuBgPFxaRV5UGWgrunL9uBOvy_yc3Xt65cPU32KPvSl9OlsqwzU-pkkqBL5_23WJzT1-J5JRiPrV9bM2BttnwW2NbY5a70cJeRNuFGzCbA.Qp9wL3z3hgyEFStjJQsJp2m5gN-SFRhNxWrL5fnuvSQ&dib_tag=se&keywords=lego+star+wars&qid=1758913762&sr=8-71&xpid=sY1ev66lgG6_V
Star Wars,75324,B09BNV1HRL,"Lego 75324 Star Wars L'Attaque des Dark Troopers, Jouet Mandalorian à Construire avec Minifigure Luke Skywalker et Son Sabre Laser",45.01,Stock faible (7),https://www.amazon.fr/LEGO-75324-Mandalorian-Construire-Minifigure/dp/B09BNV1HRL/ref=sr_1_75?dib=eyJ2IjoiMSJ9.nRuJfwn11Sy53HxgJdSQx2QOX6TmxsrEiGTM9kVliVsWcPgJgiH1PwVVUJWweSQkhsvo-Dec__vqOk6ujOAeWRX9Fa0bJC7k2faV_yYPs4s-EJIrBzUJaGI7NWiSD3-TGEku53mSi96CjMFSZ_xYtOOU-KRfmKVv1JHH0w59qpbWLbiFM1NkHWPmrVe_67C1bUuBgPFxaRV5UGWgrunL9uBOvy_yc3Xt65cPU32KPvSl9OlsqwzU-pkkqBL5_23WJzT1-J5JRiPrV9bM2BttnwW2NbY5a70cJeRNuFGzCbA.Qp9wL3z3hgyEFStjJQsJp2m5gN-SFRhNxWrL5fnuvSQ&dib_tag=se&keywords=lego+star+wars&qid=1758913762&sr=8-75&xpid=sY1ev66lgG6_V
